#{"t_start": 1672841643.1367772, "env_id": null}
r,l,t
31,42,855.463266
24,39,856.686232
24,39,857.853015
28,39,859.06162
24,39,860.289953
52,67,862.292528
54,69,864.367658
53,68,866.539809
24,39,867.756461
25,36,868.810036
33,44,870.156412
29,40,871.314206
115,132,875.120147
53,68,877.184599
52,67,879.18102
29,40,880.364085
33,44,881.697754
24,39,882.869559
24,39,884.043255
91,104,887.085593
54,69,889.196975
24,39,890.355491
29,40,891.65995
24,39,892.901355
24,39,894.141827
31,42,895.550823
54,69,897.817549
52,67,899.801797
24,39,900.990516
54,69,903.041228
112,129,906.972144
36,47,908.500028
24,39,909.70974
28,39,910.963521
53,68,913.247814
70,83,915.875541
33,44,917.247517
31,42,918.506278
28,39,919.675435
27,38,920.878448
29,40,922.11381
54,69,924.179962
52,67,926.359481
28,39,927.644746
54,69,929.946787
33,44,931.443233
53,68,933.836576
31,42,935.23318
52,67,937.569189
29,40,939.096071
27,38,940.780085
36,47,942.582898
28,39,944.073933
53,68,946.69491
52,67,949.294853
24,39,950.845144
52,67,953.353555
31,42,955.031793
91,104,958.991214
40,51,960.957624
52,67,963.434894
24,39,964.950662
53,68,967.539402
24,39,969.056238
52,67,971.61884
26,37,973.029612
24,39,974.549465
41,52,976.548185
35,46,978.267989
52,67,980.814235
52,67,983.379704
31,42,984.954791
54,69,987.554436
52,67,990.099616
28,39,991.646693
30,41,993.226485
30,41,994.777986
52,67,997.365445
52,67,999.973876
33,44,1001.666124
31,42,1003.224723
54,69,1005.813035
53,68,1008.160844
54,69,1010.433356
52,67,1012.742819
52,67,1014.987612
53,68,1017.310438
24,39,1018.682381
52,67,1020.968933
53,68,1023.210091
52,67,1025.514523
53,68,1027.753839
29,40,1029.123912
63,76,1031.709554
35,46,1033.250109
31,42,1034.854308
29,40,1036.428768
52,67,1039.001795
26,37,1040.543195
24,39,1042.024445
31,42,1043.631613
25,36,1044.932606
52,67,1047.335582
24,39,1048.676575
30,41,1050.134537
53,68,1052.514861
33,44,1054.194675
34,45,1055.711218
54,69,1057.983684
24,39,1059.347465
24,39,1060.75498
24,39,1062.022282
52,67,1064.324986
53,68,1066.658509
52,67,1069.05139
24,39,1070.446956
52,67,1072.635364
32,43,1074.073225
28,39,1075.527741
24,39,1076.902842
53,68,1079.187559
28,39,1080.500902
53,68,1082.873825
53,68,1085.210711
31,42,1086.672868
24,39,1088.021526
29,40,1089.369381
54,69,1091.672469
24,39,1093.020571
52,67,1095.40406
52,67,1097.921898
30,41,1099.48286
29,40,1100.965909
24,39,1102.452767
24,39,1103.969886
24,39,1105.489743
32,43,1107.03871
39,50,1108.973412
28,39,1110.476705
30,41,1112.054332
39,50,1113.943302
25,36,1115.316907
29,40,1116.8038
24,39,1118.299647
32,43,1119.930078
52,67,1122.306379
24,39,1123.653578
24,39,1125.05338
114,131,1129.684184
24,39,1131.088569
33,44,1132.657455
24,39,1133.974736
30,41,1135.421944
54,69,1137.849594
24,39,1139.221077
34,45,1140.782526
52,67,1143.185471
24,39,1144.543264
46,57,1146.650799
24,39,1147.941445
29,40,1149.419599
28,39,1150.839513
54,69,1153.190474
24,39,1154.586568
52,67,1156.908899
24,39,1158.323662
28,39,1159.63266
36,47,1161.288108
30,41,1162.709484
54,69,1165.074895
54,69,1167.499355
53,68,1169.911336
30,41,1171.265839
29,40,1172.680087
54,69,1175.096803
28,39,1176.480197
52,67,1178.821573
52,67,1181.152651
37,48,1182.850706
31,42,1184.296393
30,41,1185.723145
53,68,1188.068223
24,39,1189.446167
52,67,1191.814705
52,67,1194.101529
34,43,1195.544214
24,39,1196.939569
54,69,1199.272678
52,67,1201.661359
28,39,1203.020401
31,42,1204.475836
24,39,1205.880249
54,69,1208.21823
24,39,1209.615926
32,43,1211.16553
24,39,1212.565996
29,40,1213.983503
52,67,1216.310618
